max_depth	min_split	vmin_bucket	cpValue	ganancia_promedio
4	1000	500	-10	8451333
4	1000	400	-10	8651333
4	1000	300	-10	8588000
4	1000	200	-10	8566000
4	1000	100	-10	8566000
4	1000	50	-10	8533333
4	1000	25	-10	8318667
4	1000	10	-10	8122667
4	1000	5	-10	7759333
4	800	400	-10	8589333
4	800	300	-10	8516000
4	800	200	-10	8550667
4	800	100	-10	8550667
4	800	50	-10	8518000
4	800	25	-10	8360000
4	800	10	-10	8170000
4	800	5	-10	7807333
4	600	300	-10	8452000
4	600	200	-10	8486667
4	600	100	-10	8552667
4	600	50	-10	8520000
4	600	25	-10	8362000
4	600	10	-10	8172000
4	600	5	-10	7809333
4	400	200	-10	8473333
4	400	100	-10	8526000
4	400	50	-10	8493333
4	400	25	-10	8335333
4	400	10	-10	8165333
4	400	5	-10	7802667
4	200	100	-10	8552667
4	200	50	-10	8529333
4	200	25	-10	8371333
4	200	10	-10	8165333
4	200	5	-10	7802667
4	100	50	-10	8529333
4	100	25	-10	8371333
4	100	10	-10	8165333
4	100	5	-10	7802667
4	50	25	-10	8378000
4	50	10	-10	8165333
4	50	5	-10	7802667
4	20	10	-10	8165333
4	20	5	-10	7802667
4	10	5	-10	7806667
6	1000	500	-10	9586000
6	1000	400	-10	9429333
6	1000	300	-10	9428000
6	1000	200	-10	9262000
6	1000	100	-10	9254667
6	1000	50	-10	8433333
6	1000	25	-10	8834667
6	1000	10	-10	9083333
6	1000	5	-10	9324667
6	800	400	-10	9708000
6	800	300	-10	9676000
6	800	200	-10	9370667
6	800	100	-10	9290000
6	800	50	-10	8523333
6	800	25	-10	8942000
6	800	10	-10	9276000
6	800	5	-10	9568667
6	600	300	-10	9576667
6	600	200	-10	9331333
6	600	100	-10	9312667
6	600	50	-10	8453333
6	600	25	-10	8858000
6	600	10	-10	9246667
6	600	5	-10	9569333
6	400	200	-10	9321333
6	400	100	-10	9271333
6	400	50	-10	8456000
6	400	25	-10	8769333
6	400	10	-10	9265333
6	400	5	-10	9559333
6	200	100	-10	9228667
6	200	50	-10	8639333
6	200	25	-10	8886000
6	200	10	-10	9242000
6	200	5	-10	9494667
6	100	50	-10	8654667
6	100	25	-10	8882000
6	100	10	-10	9208667
6	100	5	-10	9476000
6	50	25	-10	8934000
6	50	10	-10	9258000
6	50	5	-10	9489333
6	20	10	-10	9264667
6	20	5	-10	9463333
6	10	5	-10	9407333
8	1000	500	-10	9149333
8	1000	400	-10	9406667
8	1000	300	-10	8932667
8	1000	200	-10	8750000
8	1000	100	-10	8653333
8	1000	50	-10	7722667
8	1000	25	-10	8388667
8	1000	10	-10	8749333
8	1000	5	-10	9924667
8	800	400	-10	9644667
8	800	300	-10	9192000
8	800	200	-10	8880667
8	800	100	-10	8632000
8	800	50	-10	8020667
8	800	25	-10	8662667
8	800	10	-10	9011333
8	800	5	-10	10100000
8	600	300	-10	9063333
8	600	200	-10	8636667
8	600	100	-10	8339333
8	600	50	-10	7689333
8	600	25	-10	8490667
8	600	10	-10	8811333
8	600	5	-10	10001333
8	400	200	-10	8271333
8	400	100	-10	7860667
8	400	50	-10	7351333
8	400	25	-10	8190667
8	400	10	-10	8666667
8	400	5	-10	9862000
8	200	100	-10	7467333
8	200	50	-10	7626667
