fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220526 010407	-0.248145415437466	785	343	13	5	9400000	1
20220526 010551	-0.21482363025425	4736	1936	14	5	9639000	2
20220526 010710	-0.556476043138537	7969	1053	6	5	7439000	3
20220526 010901	-0.632925120854634	6300	1637	10	5	7426000	4
20220526 011010	0.0695892014933635	2362	798	17	5	0	5
20220526 011203	-0.913664218196936	2764	920	6	5	11184000	6
20220526 011416	-0.467148163495585	4108	738	11	5	11273000	7
20220526 011516	-0.387294672690041	3772	1294	3	5	10201000	8
20220526 011715	-0.755509450673708	5398	1534	19	5	9833000	9
20220526 012009	-0.321177131707373	6873	18	20	5	6690000	10
20220526 012217	-0.976015385324718	1527	607	15	5	10375000	11
20220526 012318	-0.0409745259777992	3185	386	4	5	11058000	12
20220526 012418	0.0306005280828687	5619	1450	17	5	0	13
20220526 012539	-0.798601331852842	7292	151	7	5	7328000	14
20220526 012745	-0.678931330610067	6543	435	14	5	7581000	15
20220526 012913	-0.0948879212839528	2751	1212	7	5	10909000	16
20220526 013031	-0.21681292546498	3642	800	6	5	11377000	17
20220526 013210	-0.374872193084617	3876	1936	11	5	9851000	18
20220526 013301	-0.135143187512314	2375	831	3	5	10201000	19
20220526 013438	-0.454191226922057	2143	11	8	5	10647000	20
20220526 013602	-0.15088950323801	4664	3	7	5	11105000	21
20220526 013741	-0.999625227890218	757	378	7	5	9702000	22
20220526 013927	-0.903688599861844	2824	1406	11	5	10961000	23
20220526 014118	-0.892744940673334	2630	1311	20	5	11187000	24
20220526 014315	-0.814718379018121	1815	905	17	5	10620000	25
20220526 014455	-0.260805289406459	4337	625	9	5	11273000	26
20220526 014636	-0.940553180508156	3939	1964	17	5	9946000	27
20220526 014755	-0.177372066386794	4740	1790	6	5	9712000	28
20220526 014932	-0.206049715462618	3310	359	8	5	10813000	29
20220526 015052	-0.312884480696008	4257	244	6	5	10959000	30
20220526 015211	-0.0957043978975368	4087	467	6	5	11224000	31
20220526 015404	-0.493697386213159	2124	999	13	5	11260000	32
20220526 015506	-0.759820709494815	1951	971	4	5	10727000	33
20220526 015628	-0.496575494306724	2729	911	6	5	11184000	34
20220526 015720	-0.965693172448922	2924	1457	3	5	10046000	35
20220526 015909	-0.419181811345155	3590	887	13	5	11298000	36
20220526 020045	-0.843229550429918	2146	1071	8	5	10770000	37
20220526 020350	-0.90762683904013	3460	2	20	5	10922000	38
20220526 020543	-0.597221754902622	2749	1032	20	5	11146000	39
20220526 020752	-0.908268069862263	2947	1	11	5	10856000	40
20220526 020945	-0.743362288205024	3023	929	20	5	11184000	41
20220526 021131	-0.273220363253579	3652	1043	10	5	11224000	42
20220526 021326	-0.546860303801643	3062	788	13	5	11226000	43
20220526 021702	-0.643811103680188	4	1	20	5	6794000	44
20220526 021852	-0.89865524609788	3512	863	19	5	11377000	45
20220526 022038	-0.505449842795574	3371	1216	16	5	11195000	46
20220526 022203	-0.243961229300444	4259	831	7	5	11310000	47
20220526 022345	-0.55274309968936	3440	1720	20	5	10031000	48
20220526 022536	-0.893838956112538	2994	1029	15	5	11146000	49
20220526 022727	-0.99989588110883	3250	843	20	5	11263000	50
20220526 022835	-0.0678151116457403	4714	1	5	5	8920000	51
