fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220525 154026	-0.553973972826498	2761	1266	12	5	8825000	1
20220525 154103	-0.259969542267208	4190	1419	17	5	8904000	2
20220525 154141	-0.451331560971448	3898	581	11	5	9331000	3
20220525 154224	-0.214464541627967	5836	290	17	5	9297000	4
20220525 154303	-0.973975818816689	6501	499	15	5	9132000	5
20220525 154328	-0.392326519406924	5300	1087	5	5	9028000	6
20220525 154346	0.0834322813912878	4522	932	13	5	0	7
20220525 154416	-0.7443608215719	7633	652	7	5	8620000	8
20220525 154450	-0.684501801454462	6097	1911	19	5	8962000	9
20220525 154530	-0.0671996509190648	167	24	7	5	9862000	10
20220525 154629	-0.862577567782137	3213	143	20	5	8661000	11
20220525 154652	0.0293228611670202	7064	1703	9	5	0	12
20220525 154729	-0.00107906823395743	6696	817	19	5	8926000	13
20220525 154801	-0.455606090434594	5927	1532	7	5	8831000	14
20220525 154852	-0.387173455848824	3221	423	19	5	9364000	15
20220525 154920	-0.62343425611034	6900	1026	5	5	8892000	16
20220525 154957	-0.399777518271412	7	2	7	5	9077000	17
20220525 155037	-0.239147664555602	7996	668	20	5	8472000	18
20220525 155103	-0.121254306574143	10	3	4	5	8666000	19
20220525 155208	-0.539549640935552	5605	3	16	5	9008000	20
20220525 155336	-0.1321050238225	97	1	19	5	9348000	21
20220525 155428	-0.846594574479115	3721	2	11	5	9142000	22
20220525 155512	-0.56369675738783	3986	3	9	5	9039000	23
20220525 155554	-0.999259372914713	3744	1871	17	5	8910000	24
20220525 155710	-0.10340586469893	4361	2	20	5	9067000	25
20220525 155829	-0.347716998453087	11	1	17	5	8973000	26
20220525 155907	-0.176903870693141	41	8	7	5	9369000	27
20220525 155939	-0.999512624112736	3558	1776	6	5	8752000	28
20220525 160015	-0.999991478768686	6317	2000	11	5	8962000	29
20220525 160118	-0.999743542391064	178	69	14	5	6434000	30
20220525 160203	-0.920572877993263	8000	931	18	5	8516000	31
20220525 160240	-0.809158445156183	5905	2000	15	5	8962000	32
20220525 160312	-0.508971064008866	2680	1329	6	5	8910000	33
20220525 160350	-0.697648367416506	5892	662	11	5	9297000	34
20220525 160409	-0.999699338530538	5958	2	3	5	8761000	35
20220525 160428	-0.821201723054876	5360	2000	3	5	8361000	36
20220525 160550	-0.316037509315343	5362	1	18	5	9032000	37
20220525 160637	-0.679766283202078	3510	916	17	5	9352000	38
20220525 160720	-0.999419301113806	7997	2	10	5	8484000	39
20220525 160806	-0.203796459666135	1783	884	19	5	10038000	40
20220525 160902	-0.196129171362311	2303	488	18	5	9665000	41
20220525 160948	-0.545125902663043	2086	1040	20	5	10271000	42
20220525 161030	-0.511772524149681	2241	1120	19	5	9651000	43
20220525 161117	-0.615398977831952	1282	639	20	5	10079000	44
20220525 161203	-0.274285605695991	1482	741	20	5	10101000	45
20220525 161244	-0.651835499637298	2695	1343	20	5	8947000	46
20220525 161334	-0.527983476073614	1032	516	20	5	10176000	47
20220525 161419	-0.554172771336148	1652	772	20	5	10055000	48
20220525 161505	-0.0347041828037677	7407	283	20	5	8246000	49
20220525 161540	-0.454993698415649	5000	1998	20	5	8918000	50
20220525 161651	-0.609770622821856	55	24	20	5	4406000	51
20220525 161739	-0.362499815538242	926	460	15	5	9651000	52
20220525 161821	-0.849668482811198	4284	523	20	5	9502000	53
20220525 161901	-0.245330010558547	5792	1024	20	5	9368000	54
20220525 161954	-0.21430728583984	877	436	18	5	10142000	55
20220525 162031	-0.920058489852244	4462	972	9	5	9563000	56
20220525 162114	-0.902980461375179	1977	987	20	5	10148000	57
20220525 162144	-0.741255633759958	3714	568	6	5	9199000	58
20220525 162237	-0.071836404516172	13	2	12	5	8694000	59
20220525 162323	-0.402347056772096	1119	558	20	5	9947000	60
20220525 162410	-0.90426403465771	3041	590	15	5	9265000	61
20220525 162448	-0.524135460096604	6392	998	17	5	9199000	62
20220525 162529	-0.531397043422218	1099	541	9	5	9875000	63
20220525 162615	-0.145898157798427	1132	566	20	5	9878000	64
20220525 162653	-0.999982837277599	5040	1085	20	5	9335000	65
20220525 162734	-0.241241639725982	2135	1059	20	5	10278000	66
20220525 162815	-0.826397527678522	1955	973	10	5	10442000	67
20220525 162856	-0.999895229556041	2062	1024	10	5	10058000	68
20220525 162936	-0.874842952813809	1357	675	8	5	9969000	69
20220525 162956	-0.466014280716855	5941	250	3	5	8851000	70
20220525 163022	-0.867534355260915	2016	1007	4	5	9718000	71
20220525 163104	-0.312014245769163	1902	4	8	5	9745000	72
20220525 163158	-0.518337580908799	1125	545	17	5	9984000	73
20220525 163314	-0.221085572278181	1797	8	20	5	8789000	74
20220525 163359	-0.401988034098814	7988	1	11	5	8398000	75
20220525 163440	-0.870729751375443	2219	1108	11	5	9858000	76
20220525 163527	-0.810232646370594	2343	439	10	5	9646000	77
20220525 163609	-0.760432831763012	1940	969	8	5	10094000	78
20220525 163656	-0.832315191096048	7999	185	16	5	8386000	79
20220525 163747	-0.999753922358509	1279	634	20	5	10111000	80
20220525 163810	-0.999701612447594	1510	747	3	5	8851000	81
20220525 163922	-0.226036764343684	2348	1	16	5	9413000	82
20220525 164006	-0.329633108984029	947	355	8	5	10090000	83
20220525 164049	-0.172553276595731	3170	1585	20	5	8751000	84
20220525 164132	-0.62922688150421	4022	2000	10	5	8918000	85
20220525 164154	-0.433408303210441	1521	760	3	5	8851000	86
20220525 164241	-0.838484959602475	1727	863	10	5	10074000	87
20220525 164322	-0.825334195859614	2032	1013	9	5	10058000	88
20220525 164404	-0.757801762162129	1965	979	11	5	10156000	89
20220525 164439	-0.524089982732005	7989	1998	16	5	8516000	90
20220525 164526	-0.325301519508074	1957	978	20	5	10157000	91
20220525 164612	-0.639352370686793	1952	976	10	5	10271000	92
20220525 164700	-0.346973889289275	480	220	10	5	9718000	93
20220525 164738	-0.442369486505904	3911	316	8	5	9306000	94
20220525 164817	-0.835835090687054	14	2	3	5	8761000	95
20220525 164857	-0.80159975548689	3309	1600	10	5	8751000	96
20220525 164944	-0.99979710652462	4827	333	20	5	9542000	97
20220525 165027	-0.0722656271948279	2006	1001	20	5	10058000	98
20220525 165048	-0.436186744425786	7999	1999	3	5	8516000	99
20220525 165107	0.0997148679917348	19	1	20	5	0	100
20220525 165149	-0.0876922976770803	6579	965	20	5	8926000	101
20220525 165237	-0.540481216711487	5071	548	20	5	9433000	102
20220525 165324	-0.801664101758729	1944	968	20	5	10095000	103
