fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 203855	-0.0640568645772873	3359	431	7	5	9546000	1
20220520 203923	-0.265885767817963	6193	612	14	5	9224000	2
20220520 203949	-0.902623566858529	5883	1013	12	5	9344000	3
20220520 204018	-0.348179907826125	4883	1984	18	5	8987000	4
20220520 204043	-0.98709484430874	6751	189	8	5	8500000	5
20220520 204110	-0.505774316196039	2934	880	14	5	9708000	6
20220520 204127	-0.622212860305444	4500	1505	5	5	9046000	7
20220520 204146	-0.133060155368003	1829	256	5	5	10199000	8
20220520 204159	0.0656782802630915	5085	803	15	5	0	9
20220520 204220	-0.555269160849275	7545	1186	8	5	8700000	10
20220520 204253	-0.749776056359406	1168	40	11	5	8874000	11
20220520 204317	-0.803449741272198	7473	720	20	5	8700000	12
20220520 204331	-0.00542164397193112	3843	1683	3	5	8299000	13
20220520 204400	-0.270891556298981	3844	1691	14	5	8934000	14
20220520 204412	-0.656156236686123	2664	643	3	5	8782000	15
20220520 204441	-0.132784412032925	6381	980	19	5	9247000	16
20220520 204455	-0.123202458701821	4516	1073	3	5	8763000	17
20220520 204552	-0.11300633744118	201	3	19	5	6734000	18
20220520 204636	-0.905705190298832	8	1	14	5	9454000	19
20220520 204649	0.0994987026844097	7773	1	5	5	0	20
20220520 204711	-0.171951291742228	6150	232	7	5	9224000	21
20220520 204737	-0.397169847854745	1801	585	8	5	9882000	22
20220520 204804	-0.42283918560466	4902	636	20	5	9315000	23
20220520 204818	-0.23207969656158	744	370	3	5	8782000	24
20220520 204839	-0.447602490606916	2886	1442	6	5	9014000	25
20220520 204853	-0.0684772044194059	58	25	3	5	8836000	26
20220520 204919	-0.485016885740533	1558	1	8	5	8964000	27
20220520 204932	-0.85654590113538	1447	721	3	5	8782000	28
20220520 205002	-0.352915365008963	1855	920	17	5	10523000	29
20220520 205034	-0.341410857529977	2525	399	15	5	9421000	30
20220520 205103	-0.395487703378109	1756	878	20	5	9932000	31
20220520 205130	-0.36153038239609	3295	1007	12	5	9699000	32
20220520 205158	-0.153813089547109	1780	691	9	5	9761000	33
20220520 205226	-0.978481064180684	2312	1156	20	5	9726000	34
20220520 205251	-0.888323643924409	4001	2000	20	5	8986000	35
20220520 205320	-0.312578356083931	1986	992	20	5	10565000	36
20220520 205347	-0.704584783405293	2603	1297	20	5	9206000	37
20220520 205401	-0.999865220433864	3630	1814	3	5	8265000	38
20220520 205432	-0.591928937854829	1219	606	20	5	10006000	39
