fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220524 095354	2256	18	1077	11	5	11884000	1
20220524 102908	1905	20	1133	15	5	11570000	2
20220524 112208	2173	23	1209	19	5	11064000	3
20220524 120107	1999	22	790	15	5	11588000	4
20220524 125310	2214	26	644	18	5	11212000	5
20220524 132504	1820	17	889	14	5	11544000	6
20220524 140006	1523	28	749	17	5	11145000	7
20220524 142942	2052	25	1043	11	5	11627000	8
20220524 152028	2485	24	966	16	5	11494000	9
20220524 154723	1732	30	826	12	5	11616000	10
20220524 183905	2302	23	1262	20	5	11409000	11
20220524 193908	2059	22	964	19	5	11196000	12
20220524 201832	1876	21	1220	13	5	11540000	13
20220524 205245	1650	15	779	14	5	11651000	14
20220524 213806	2459	29	1444	12	5	11447000	15
20220524 221852	2210	28	624	14	5	11453000	16
20220524 230714	2068	19	861	17	5	11326000	17
20220524 234658	1771	24	1119	17	5	11783000	18
20220525 002755	2166	25	1379	15	5	11678000	19
20220525 010032	1981	18	687	13	5	11750000	20
20220525 013838	1560	20	552	19	5	11185000	21
20220525 021229	2344	27	883	11	5	11667000	22
20220525 023319	1619	26	1032	10	5	11489000	23
20220525 030623	1740	16	1172	16	5	11527000	24
20220525 033855	2431	17	1320	11	5	11872000	25
20220525 042142	1825	30	688	18	5	10976000	26
20220525 045432	2500	15	1205	11	5	11561000	27
20220525 052256	2138	16	1356	11	5	11943000	28
20220525 054841	2131	16	1374	10	5	11615000	29
20220525 060943	1534	18	1352	11	5	11880000	30
20220525 063946	2300	15	1403	11	5	11924000	31
20220525 070926	2156	21	1376	11	5	11851000	32
20220525 073516	1956	15	1372	11	5	12057000	33
20220525 075925	1840	15	1403	11	5	12094000	34
20220525 082343	1861	15	1464	11	5	11876000	35
20220525 084732	1796	15	1390	11	5	11908000	36
20220525 091244	1929	15	1414	11	5	11932000	37
20220525 093322	1531	18	1404	11	5	11842000	38
20220525 095944	1950	16	1402	11	5	12052000	39
20220525 102404	1826	16	1366	11	5	11822000	40
20220525 105136	1996	20	1340	11	5	11762000	41
20220525 111941	2149	15	1375	11	5	12054000	42
20220525 114317	1815	15	1406	11	5	11972000	43
20220525 120656	1811	15	1400	11	5	12037000	44
20220525 124047	1735	15	1377	11	5	12039000	45
20220525 132238	1987	15	1380	11	5	11902000	46
