fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220522 230734	2025	16	1524	50	5	10863000	1
20220523 003846	1441	15	928	43	5	10862000	2
20220523 010229	1002	13	1441	17	5	11554000	3
20220523 010434	461	2	559	21	5	9249000	4
20220523 014537	2400	28	1887	13	5	11492000	5
20220523 025537	1803	25	250	23	5	10237000	6
20220523 033730	1464	9	724	37	5	11122000	7
20220523 040826	751	18	1238	33	5	10675000	8
20220523 050237	1698	20	1758	26	5	11261000	9
20220523 051343	1255	6	375	16	5	11062000	10
20220523 052307	245	10	105	45	5	11224000	11
20220523 054108	2124	24	766	6	5	11654000	12
20220523 054317	387	22	1065	3	5	10993000	13
20220523 054808	676	3	1344	30	5	9998000	14
20220523 055938	2334	5	1640	10	5	10651000	15
20220523 065004	880	30	377	41	5	9876000	16
20220523 070658	2417	26	1676	5	5	11288000	17
20220523 072916	2470	23	1586	7	5	11401000	18
20220523 075740	2094	22	1589	11	5	11645000	19
20220523 081709	1486	15	1251	11	5	11761000	20
20220523 083543	1954	18	816	7	5	11764000	21
20220523 090049	1444	17	1996	15	5	11394000	22
20220523 091953	1614	13	719	10	5	11639000	23
20220523 093343	1666	20	1062	6	5	11529000	24
20220523 101123	2242	18	824	12	5	11728000	25
20220523 103813	1827	18	106	8	5	11090000	26
20220523 111738	1985	15	1158	12	5	11591000	27
20220523 113144	1252	13	1234	7	5	11456000	28
20220523 115546	1390	16	925	13	5	11476000	29
20220523 121944	1541	16	1453	12	5	11472000	30
20220523 124505	2181	20	868	6	5	11700000	31
20220523 133243	2500	22	908	10	5	11510000	32
20220523 140838	1464	12	1235	17	5	11432000	33
20220523 143743	1600	24	588	11	5	11998000	34
20220523 144051	202	24	806	11	5	11502000	35
20220523 151115	1967	18	530	11	5	11699000	36
20220523 153422	1566	29	928	11	5	11592000	37
20220523 160237	1738	24	670	12	5	11537000	38
20220523 162159	1335	22	728	11	5	11656000	39
20220523 164030	1519	23	581	9	5	11591000	40
20220523 171129	2026	26	405	11	5	11198000	41
20220523 174029	1939	30	1314	11	5	11714000	42
20220523 181618	1862	29	1598	15	5	11574000	43
20220523 182038	1888	2	842	11	5	6935000	44
20220523 183647	1628	25	1998	8	5	11218000	45
20220523 184644	1262	24	450	5	5	11214000	46
20220523 194353	2488	14	1581	17	5	11832000	47
20220523 200710	2433	14	561	5	5	11414000	48
20220523 214631	2405	17	1918	28	5	11431000	49
20220523 222607	2150	30	1860	12	5	11669000	50
20220523 223332	102	20	235	37	5	9247000	51
20220523 230204	1068	21	1568	16	5	11686000	52
20220523 234205	2500	10	1998	16	5	11520000	53
20220523 234453	193	30	1869	8	5	11516000	54
20220524 002229	2361	15	1973	13	5	11596000	55
20220524 010059	1234	22	1996	25	5	11368000	56
20220524 010151	146	28	1	2	5	10410000	57
20220524 010653	286	26	1999	14	5	11506000	58
20220524 021259	2500	13	294	24	5	11037000	59
20220524 024159	1607	24	947	14	5	11729000	60
20220524 030857	2034	19	1815	11	5	11769000	61
20220524 033332	1611	25	16	11	5	10201000	62
20220524 034444	2306	30	741	2	5	10845000	63
20220524 034535	160	27	1285	2	5	10759000	64
20220524 035429	1582	25	675	3	5	11288000	65
20220524 041219	1053	25	731	13	5	11356000	66
