fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220528 224940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	999983	0.169664147019503	0.481609219573438	1774	1032	0.0408006420029172	9042000	1
20220528 225002	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	999983	0.0957776807424379	0.955905296383426	3672	1279	0.0268343506705908	11857000	2
20220528 225012	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.185243558907881	0.643981572678313	2636	1642	0.0313019191244772	10957000	3
20220528 225024	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	999983	0.157832347507705	0.305529836323112	5482	855	0.0373826275080016	10477000	4
20220528 225043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	999983	0.0653981569663156	0.724497425919399	4192	1432	0.023017924890155	12717000	5
20220528 225053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	999983	0.10564531692164	0.692201795680448	7047	803	0.0494636804549373	7534000	6
20220528 225104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	999983	0.274884178636479	0.527461514389142	3271	69	0.0198801750394826	12042000	7
20220528 225119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	999983	0.148516867771395	0.22611770324409	691	1450	0.02799965517479	9919000	8
20220528 225135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6	TRUE	999983	0.254977868330083	0.5896021584142	322	673	0.0343424415730018	6888000	9
20220528 225221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	999983	0.0162924240452703	0.628274165000767	7288	1039	0.0149781098691165	13238000	10
20220528 225229	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	999983	0.238836721583735	0.788749627387151	6396	1619	0.00878811281290837	11283000	11
20220528 225239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	999983	0.11632534011174	0.820285053048283	4992	425	0.0306210996141696	11418000	12
20220528 225251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	999983	0.129208551356453	0.279593881675974	5637	287	0.0133262709840589	12647000	13
20220528 225302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	999983	0.21064154529653	0.398928059265018	3080	1902	0.0444412010421123	8909000	14
20220528 225324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	999983	0.0491742083641002	0.88306680880487	2066	2013	0.0112735727224693	12905000	15
20220528 225333	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	999983	0.285611808916554	0.420207212166861	4473	120	0.0475800218007256	8360000	16
20220528 225346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	999983	0.0729776381946867	0.871651644650847	6511	1807	0.0437354291245962	8524000	17
20220528 225356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	999983	0.223206691156956	0.963082350604236	1207	339	0.0183928405264548	11289000	18
20220528 225406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	999983	0.26712985932047	0.344125520065427	7775	1224	0.0229086908870765	12096000	19
20220528 225446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	999983	0.034126012095483	0.474170783841983	978	611	0.0392481365682518	9430000	20
20220528 225543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	332	TRUE	999983	0.0139038535008731	0.605595113543144	4606	963	0.0163123345861374	13692000	21
20220528 225650	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	603	TRUE	999983	0.0110829650480815	0.702210594049976	5713	450	0.0186537674895579	13264000	22
20220528 225828	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	526	TRUE	999983	0.0101928057575722	0.42985719627614	4056	1731	0.0156593004749258	13712000	23
20220528 225950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	999983	0.0105451274725465	0.41116740261927	3119	1184	0.0156976724145912	13641000	24
20220528 230144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	817	TRUE	999983	0.0102340375507313	0.294699180177971	5245	1178	0.0171552220621961	13481000	25
20220528 230257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	464	TRUE	999983	0.0100400780116595	0.644255347227794	3796	1445	0.0149521816174959	13716000	26
20220528 230425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	451	TRUE	999983	0.0104945523144896	0.592397760575148	3063	1839	0.0167080927915217	13861000	27
20220528 230443	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	999983	0.096233833279347	0.547596407449382	3259	1804	0.0162821884126382	13581000	28
20220528 230618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	500	TRUE	999983	0.0100115100302227	0.590757084711829	3445	2043	0.0162672129672114	13673000	29
20220528 230820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	719	TRUE	999983	0.0102659211459267	0.585083668169979	2632	1675	0.0163865225194419	13580000	30
20220528 230941	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	608	TRUE	999983	0.0100106897029469	0.933722433545173	3290	106	0.0151515858369842	13152000	31
20220528 231056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	499	TRUE	999983	0.0100457150016799	0.857676985731345	3163	1759	0.0170118931457055	13440000	32
20220528 231246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	487	TRUE	999983	0.0100789311079177	0.529920303580006	3149	1820	0.0127364779120866	13425000	33
20220528 231420	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	456	TRUE	999983	0.0103847902594309	0.486163660671762	3812	547	0.0156737126448212	13809000	34
20220528 231533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	385	TRUE	999983	0.0101431070351315	0.643845338843239	3684	690	0.0145003317262537	13564000	35
20220528 231730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	762	TRUE	999983	0.0100183230141114	0.40983040946621	3856	82	0.0170600965668248	13747000	36
20220528 231915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	533	TRUE	999983	0.0101636464496809	0.509636738987337	3934	1315	0.0169832543626759	13942000	37
20220528 232108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	637	TRUE	999983	0.010446410525347	0.492987724727455	3725	339	0.017489302019925	13904000	38
20220528 232300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	669	TRUE	999983	0.0102684481799109	0.50974570872682	7872	1854	0.0182647094398999	13286000	39
20220528 232441	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	521	TRUE	999983	0.010021504675736	0.550444884679059	4048	300	0.0165176333749326	13818000	40
20220528 232647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1082	TRUE	999983	0.010020683708277	0.240510116400192	3876	397	0.0176693261362798	13660000	41
20220528 232825	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	680	TRUE	999983	0.0104583986512113	0.382969069946406	8000	184	0.0183800864040228	12990000	42
20220528 232957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	388	TRUE	999983	0.0102180337062477	0.507081831408712	3651	1803	0.0180736273106245	13667000	43
20220528 233205	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	999983	0.0489526230834796	0.514004462668102	3817	488	0.0171184741242191	14052000	44
20220528 233233	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	999983	0.0516789976241607	0.489677410384629	3913	668	0.0172181478035595	13638000	45
20220528 233257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	999983	0.0476159044079518	0.591930583670918	3431	439	0.0167045050884202	13328000	46
20220528 233411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	598	TRUE	999983	0.0100653924685483	0.841087749344283	4178	573	0.0126162139407119	13046000	47
20220528 233504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	241	TRUE	999983	0.0188372324575756	0.518152834431897	4915	469	0.0170768040418108	13566000	48
20220528 233642	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	593	TRUE	999983	0.0100148806389939	0.327979141918009	3871	1611	0.015437640890342	13586000	49
20220528 233826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	765	TRUE	999983	0.0100411544091303	0.350453569820932	7999	1759	0.015203067189336	13388000	50
20220528 233858	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	999983	0.0494869276620566	0.393394722601347	4149	998	0.0205618740360993	13058000	51
20220528 234019	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	624	TRUE	999983	0.0100397857161615	0.200307199927031	7070	1780	0.017179186438252	13308000	52
20220528 234038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	999983	0.049677104469709	0.763577933535493	5293	186	0.0137769726541144	13269000	53
20220528 234106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	999983	0.0497582681203444	0.339030536084631	1855	363	0.0159156868080596	13738000	54
20220528 234222	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	511	TRUE	999983	0.017220021961013	0.325990952758025	3497	1877	0.0168566149486738	13644000	55
20220528 234406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	539	TRUE	999983	0.0117124273666775	0.53860298438521	3865	1398	0.0169087646152688	13772000	56
20220528 234448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	232	TRUE	999983	0.0162581562915077	0.755806570138203	3304	515	0.0169757183968708	13445000	57
20220528 234513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	117	TRUE	999983	0.0492483691408154	0.365886493257571	4058	881	0.0151100207064695	13605000	58
20220528 234530	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	999983	0.0940402208300897	0.319069905975266	1863	1671	0.0124941947851274	12765000	59
20220528 234613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	305	TRUE	999983	0.0189408408051886	0.677465160190643	3911	1930	0.0130753748727706	13039000	60
20220528 234633	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	999983	0.099315551038633	0.529048026609675	3076	1767	0.0134653023828673	13140000	61
20220528 234705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	232	TRUE	999983	0.0471128525888133	0.285042117078071	5520	24	0.0174558886772441	13283000	62
20220528 234730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	84	TRUE	999983	0.0477210778214346	0.514033105479047	3597	172	0.0156511423591108	13572000	63
20220528 234824	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	361	TRUE	999983	0.0241765980479324	0.339038255920027	3746	364	0.0169655594886163	13576000	64
20220528 234936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	366	TRUE	999983	0.0103828486135715	0.263151229987182	1874	30	0.0167417801994101	13532000	65
20220528 235005	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	999983	0.0492929828538437	0.387335835648703	4537	413	0.0169305026366402	13156000	66
20220528 235126	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	586	TRUE	999983	0.010346390904338	0.247526344800169	7669	562	0.0189956069379857	13453000	67
20220528 235340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	842	TRUE	999983	0.0100126415573311	0.369468719723946	1969	537	0.0173133899753266	13701000	68
20220528 235639	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1236	TRUE	999983	0.0104192471325442	0.358989267385559	1613	81	0.0102333110386975	12824000	69
20220528 235752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	317	TRUE	999983	0.012767190955425	0.515539728507132	3950	359	0.017184462090432	13888000	70
20220528 235928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	544	TRUE	999983	0.0100899106423157	0.779225481974618	1595	996	0.015163334047168	13338000	71
20220528 235941	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	999983	0.0927683142788579	0.773049808110609	3842	16	0.018434692146818	12554000	72
20220529 000031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	342	TRUE	999983	0.0253497970290976	0.427531528035703	2112	16	0.0191617847182394	13042000	73
20220529 000059	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	999983	0.0478224686375781	0.200013102595491	1584	489	0.016053960017043	13541000	74
20220529 000222	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	474	TRUE	999983	0.0107515245889256	0.594082884238424	3923	1133	0.0146549364048273	13748000	75
20220529 000414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	729	TRUE	999983	0.0101924214831714	0.368892181637605	4134	2047	0.0143263509548693	13650000	76
20220529 000526	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	609	TRUE	999983	0.0101583005853498	0.934658105454086	7993	16	0.0162777328879079	13213000	77
20220529 000659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	485	TRUE	999983	0.0106426512724274	0.767265218602644	1785	1964	0.0173459139999078	13643000	78
20220529 000856	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	970	TRUE	999983	0.0113898777884797	0.242886690828248	3211	937	0.015102723998547	13454000	79
20220529 000907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	999983	0.175535232814064	0.200094897013045	6723	17	0.018553101026564	12834000	80
20220529 001015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	602	TRUE	999983	0.0103230081347466	0.999513841280314	5798	362	0.0145806833564548	13167000	81
20220529 001608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	999983	0.0101835135533918	0.856588673419896	4	1848	0.0173457273183372	958000	82
20220529 001624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	999983	0.299270801678385	0.200938142718801	4901	2033	0.0170424394948786	12993000	83
20220529 001636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	999983	0.232192769832552	0.201132585707597	1964	2048	0.0187357049390481	11648000	84
20220529 001645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	999983	0.29946627749934	0.647349850077403	5154	909	0.0164701492071054	12836000	85
20220529 001701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	999983	0.0984569019241178	0.460125152558348	5090	2048	0.0166028898553782	13661000	86
20220529 001831	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	587	TRUE	999983	0.0106524885989666	0.999323524557516	2075	879	0.0164618484494384	13525000	87
20220529 001849	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	999983	0.0523520404693159	0.999603674671681	8000	1281	0.0160728767438999	13060000	88
20220529 001901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	999983	0.154586378101027	0.20007136779681	7998	2048	0.016807410830288	13642000	89
20220529 001917	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	999983	0.09021641885182	0.200195369812934	7855	1253	0.0162603265384326	13314000	90
20220529 001924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	999983	0.29917879562767	0.999897834985818	7998	454	0.0152679763821559	12299000	91
20220529 001935	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	999983	0.299797500998728	0.519496235297666	7997	2048	0.0156521450952153	12446000	92
