fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220529 225431	0	0	0	1	auto	depthwise	256	0	1	0.102202779924264	0.49222150512971	3	18	0.0316900063854215	45	7997000	1
20220529 230030	0	0	0	1	auto	depthwise	256	0	1	0.221751083857613	0.711980096399784	3	26	0.0354311032783395	9	7489000	2
20220529 230435	0	0	0	1	auto	depthwise	256	0	1	0.286808822112624	0.769564598612487	6	12	0.0230633287928261	13	10156000	3
20220529 230822	0	0	0	1	auto	depthwise	256	0	1	0.277294521745178	0.55981213580817	2	20	0.040023063167367	1	8005000	4
20220529 231159	0	0	0	1	auto	depthwise	256	0	1	0.447905496926513	0.738848514193669	8	22	0.0121582518011564	6	9902000	5
20220529 231656	0	0	0	1	auto	depthwise	256	0	1	0.122488842295134	0.675295997653157	1	7	0.0346033206709156	60	8701000	6
20220529 231756	0	0	0	1	auto	depthwise	256	0	1	0.194009668852319	0.202218028195202	2	4	0.0253407647973897	39	11222000	7
20220529 232059	0	0	0	1	auto	depthwise	256	0	1	0.466350591669325	0.611643487419933	5	22	0.0289599870695383	1	10155000	8
20220529 232902	0	0	0	1	auto	depthwise	256	0	1	0.162252523759613	0.991212265742943	4	15	0.0487321570510782	24	6655000	9
20220529 233222	0	0	0	1	auto	depthwise	256	0	1	0.379442763992236	0.86795398985967	10	9	0.0194913435227742	13	10614000	10
20220529 233331	0	0	0	1	auto	depthwise	256	0	1	0.408772298642318	0.303937402917072	0	28	0.0432167073488624	1	2740000	11
20220529 233659	0	0	0	1	auto	depthwise	256	0	1	0.237562142688781	0.595469090696424	0	11	0.0148535098055921	1	9365000	12
20220529 233757	0	0	0	1	auto	depthwise	256	0	1	0.322397526007728	0.362761122789234	7	3	0.0449434730719077	30	7640000	13
20220530 000722	0	0	0	1	auto	depthwise	256	0	1	0.0141757797779283	0.459479416329414	9	30	0.0177183413819876	342	12700000	14
20220530 001153	0	0	0	1	auto	depthwise	256	0	1	0.0485532120990101	0.336309147942811	9	4	0.0211058797770723	255	12727000	15
20220530 001557	0	0	0	1	auto	depthwise	256	0	1	0.491423549672239	0.903780208248645	10	24	0.0379710046870362	4	8588000	16
20220530 002304	0	0	0	1	auto	depthwise	256	0	1	0.142483504672302	0.801590017592534	7	16	0.00873703194617216	34	11304000	17
20220530 002437	0	0	0	1	auto	depthwise	256	0	1	0.345546576000866	0.265265403985977	8	13	0.0136122452007839	9	10775000	18
20220530 003227	0	0	0	1	auto	depthwise	256	0	1	0.0664330117785139	0.409386152271181	5	27	0.0467546117506572	51	6685000	19
20220530 003525	0	0	0	1	auto	depthwise	256	0	1	0.355987134573981	0.94313038722612	4	7	0.0295860350937195	6	8918000	20
20220530 004827	0	0	0	1	auto	depthwise	256	0	1	0.0101326598161049	0.201443707518158	9	10	0.0185447539692571	354	13143000	21
20220530 011102	0	0	0	1	auto	depthwise	256	0	1	0.0110160559266455	0.200796666931368	10	21	0.020018791749307	723	12740000	22
20220530 012624	0	0	0	1	auto	depthwise	256	0	1	0.0100161339837203	0.362547811327853	10	3	0.016578116773066	1105	13711000	23
20220530 013921	0	0	0	1	auto	depthwise	256	0	1	0.0101007548479356	0.444568371250913	10	7	0.00840358832084598	70	12503000	24
20220530 014054	0	0	0	1	auto	depthwise	256	0	1	0.0783194521420772	0.201165203550497	10	2	0.0150018071287482	169	13225000	25
20220530 015814	0	0	0	1	auto	depthwise	256	0	1	0.0101542229169177	0.762073657102737	10	2	0.013893418407262	1019	13372000	26
20220530 021232	0	0	0	1	auto	depthwise	256	0	1	0.0101688299569027	0.56648822461225	9	2	0.0150858437305811	1031	13218000	27
20220530 023529	0	0	0	1	auto	depthwise	256	0	1	0.0100496044920787	0.307872758578787	10	20	0.0132654940205487	339	13151000	28
20220530 030420	0	0	0	1	auto	depthwise	256	0	1	0.0101474878133509	0.539967557143598	10	9	0.0165342599726091	454	13298000	29
