fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 152810	0	0	0	1	hist	lossguide	256	0	1	0.210655973368906	0.491050431597978	8	909	0.0175777744860776	7	11602000	1
20220530 152841	0	0	0	1	hist	lossguide	256	0	1	0.179421673782868	0.459620914515108	5	809	0.0231452891166555	8	9720000	2
20220530 152907	0	0	0	1	hist	lossguide	256	0	1	0.27387291355338	0.437154869046062	7	1123	0.0351940077831387	10	8841000	3
20220530 152942	0	0	0	1	hist	lossguide	256	0	1	0.115992063254118	0.959539914596826	7	1638	0.0300265118018918	17	10247000	4
20220530 153019	0	0	0	1	hist	lossguide	256	0	1	0.13688287666929	0.235189785286784	3	1287	0.0218941866260138	10	10003000	5
20220530 153107	0	0	0	1	hist	lossguide	256	0	1	0.072847330752993	0.703227831861004	6	423	0.0288689522062972	33	9324000	6
20220530 153138	0	0	0	1	hist	lossguide	256	0	1	0.246018794933683	0.740365983797237	2	928	0.0368250077818326	3	7028000	7
20220530 153204	0	0	0	1	hist	lossguide	256	0	1	0.187204041676945	0.656732839951292	8	214	0.0125049896562511	5	11374000	8
20220530 153234	0	0	0	1	hist	lossguide	256	0	1	0.230220992723131	0.978257150212303	5	1685	0.0409219692068291	15	7863000	9
20220530 153642	0	0	0	1	hist	lossguide	256	0	1	0.0122993459908757	0.780975098200142	2	408	0.0499182323726321	135	4231000	10
20220530 153737	0	0	0	1	hist	lossguide	256	0	1	0.0591376286670566	0.615273081660271	6	1440	0.0120808478439964	34	12431000	11
20220530 153805	0	0	0	1	hist	lossguide	256	0	1	0.264048314822721	0.534973273398355	3	1932	0.0435138744830814	2	7410000	12
20220530 153833	0	0	0	1	hist	lossguide	256	0	1	0.299076387834502	0.397275494420901	4	541	0.0263242307051163	9	8975000	13
20220530 154209	0	0	0	1	hist	lossguide	256	0	1	0.0451406043309253	0.31680500744842	0	1128	0.0465976061590482	2	508000	14
20220530 154237	0	0	0	1	hist	lossguide	256	0	1	0.222713639307884	0.87456555057317	9	1392	0.00967484069551574	18	12077000	15
20220530 154320	0	0	0	1	hist	lossguide	256	0	1	0.0836987519327085	0.568813903238624	10	71	0.0445966290659271	47	7790000	16
20220530 154444	0	0	0	1	hist	lossguide	256	0	1	0.0337563400012441	0.271083189863712	4	623	0.0158729000080105	59	12209000	17
20220530 154537	0	0	0	1	hist	lossguide	256	0	1	0.098606804056908	0.802567691775039	1	1956	0.0193609242526388	9	7189000	18
20220530 154607	0	0	0	1	hist	lossguide	256	0	1	0.160947924149455	0.322036751778796	9	1838	0.0381648143957136	23	8561000	19
20220530 154701	0	0	0	1	hist	lossguide	256	0	1	0.142721317757037	0.883494828119874	0	179	0.0327080337199732	2	693000	20
20220530 154947	0	0	0	1	hist	lossguide	256	0	1	0.0104752172562344	0.359745991445993	7	1051	0.00834364127879841	56	12450000	21
20220530 155308	0	0	0	1	hist	lossguide	256	0	1	0.0100734469512634	0.652663672231429	4	1171	0.00835792793886698	55	12464000	22
20220530 155615	0	0	0	1	hist	lossguide	256	0	1	0.0105162561287964	0.200067312969953	4	1170	0.00835851589396301	49	12531000	23
20220530 155715	0	0	0	1	hist	lossguide	256	0	1	0.0368710889316749	0.776489888520046	8	1677	0.00840167505174287	12	11929000	24
20220530 160033	0	0	0	1	hist	lossguide	256	0	1	0.0104890258860138	0.287154833916027	4	632	0.00834405422242036	51	12611000	25
20220530 160116	0	0	0	1	hist	lossguide	256	0	1	0.0708347137788421	0.924448615550789	7	1119	0.00834933873980501	12	11531000	26
20220530 160228	0	0	0	1	hist	lossguide	256	0	1	0.0319482411718404	0.262281794435533	9	637	0.00833750039906615	27	12002000	27
