Feature	Gain	Cover	Frequency
ctrx_quarter	0.168370077984979	0.0424312839610146	0.032296017412789
cpayroll_trx	0.091311325522535	0.0322616897712752	0.00864756750397082
mpasivos_margen	0.0672504835947179	0.0260232564712759	0.0274133772574857
mpayroll	0.0561379287749585	0.0550172308475499	0.0207659274074946
mtarjeta_visa_consumo	0.0466711888724977	0.0188031142255653	0.0188834637331608
mcaja_ahorro	0.0452276953191258	0.0174721179632313	0.0239425848579328
ctarjeta_visa_trx	0.0309826626623845	0.0159706020609806	0.0202364844990882
mcuentas_saldo	0.0304869369597866	0.0363359438744682	0.0325313253720807
mprestamos_personales	0.026446766899796	0.0329387462308559	0.0140596505676805
mrentabilidad_annual	0.0251940302634019	0.0235735690952169	0.0293546679216425
mactivos_margen	0.0230036423072907	0.023440342851394	0.0221777751632449
Visa_msaldototal	0.0213720606265197	0.0132400775529498	0.0160597682216601
ctarjeta_visa_trx2	0.0170316605481237	0.0116590839771923	0.0148244014353786
Master_fechaalta	0.0169082503431014	0.0326910546186257	0.0336490381787164
Visa_msaldopesos	0.0148134686145496	0.0250227644963311	0.025530913583152
cliente_edad	0.0136132183390746	0.0270554437429648	0.0322371904229661
Master_Fvencimiento	0.0133989361612069	0.0220596623922443	0.0277663391964233
chomebanking_trx	0.0132803291042721	0.0181677052393503	0.0215306782751927
Visa_fechaalta	0.0126795071282897	0.00991179191588306	0.0197658685805047
Visa_mpagominimo	0.0123702866664501	0.0139679241960975	0.0217659862344844
mcuenta_corriente	0.011998711920866	0.0111327569816538	0.0175304429672334
Visa_Fvencimiento	0.0115360673552944	0.0118265395736903	0.0208835813871404
numero_de_cliente	0.0113683054664728	0.0132404950672088	0.0220012941937761
mcomisiones_otras	0.010714025053956	0.00951429448339977	0.0152361903641391
mrentabilidad	0.0102824673689145	0.0116693531238228	0.0179422318959939
mcaja_ahorro_dolares	0.0101782817250935	0.0250174697338716	0.0266486263897876
ccomisiones_otras	0.00908817979009432	0.0144393250606956	0.0142361315371492
cliente_antiguedad	0.009007378229979	0.00793119629494916	0.0148244014353786
Visa_mfinanciacion_limite	0.00853353375126866	0.0126979548853042	0.0176480969468792
Master_mfinanciacion_limite	0.00851340444916263	0.0104677624238074	0.0182363668451085
Visa_mpagospesos	0.00763488419353044	0.0119175730194011	0.0158832872521913
mcomisiones	0.0074144984082738	0.00801604030478841	0.0136478616389199
Visa_mconsumospesos	0.00703377873550582	0.00905316958199151	0.0148244014353786
mtransferencias_recibidas	0.0059909938880011	0.00804541797136038	0.0121183599035237
mpagomiscuentas	0.00563209304106719	0.0169236303333114	0.00947114536149185
