Feature	Gain	Cover	Frequency
ctrx_quarter	0.0825578479917219	0.0210486197857123	0.0223498052081197
mpasivos_margen	0.0677629165642071	0.0254341090522022	0.033934795981136
mcaja_ahorro	0.0541163911881871	0.0193986970094371	0.0311667008406808
cpayroll_trx	0.0478862535925727	0.0171912857452303	0.00533114619643223
Visa_mpagospesos	0.0346135074502917	0.017208476753294	0.0266557309821612
mpayroll	0.0334386438298715	0.0281790813714985	0.0110723805618208
mtarjeta_visa_consumo	0.0330267230553353	0.0137193786494162	0.0192741439409473
mrentabilidad_annual	0.0326418374014634	0.0197376047328718	0.0294238261226164
Visa_msaldototal	0.0302018880922316	0.0111280197255231	0.0159934385892967
mprestamos_personales	0.028143469214286	0.0151618178229344	0.00543366823867132
mcuentas_saldo	0.0268832146197654	0.0260350976063533	0.0272708632355957
mactivos_margen	0.0226362561239321	0.0285111833742666	0.023887635841706
Visa_fechaalta	0.0218477814718587	0.0144163894597684	0.0253229444330531
cliente_edad	0.0217565174339858	0.0212565931176271	0.0315767890096371
Visa_msaldopesos	0.0202128611611088	0.018400214988071	0.0241952019684232
mrentabilidad	0.0183605018665829	0.0172944469398754	0.0224523272503588
Master_Fvencimiento	0.0180967292254191	0.0188442478715361	0.0275784293623129
ctarjeta_visa_trx	0.0149312654984316	0.0144947713687815	0.0152757842936231
chomebanking_trx	0.0146066010672388	0.0151802053857444	0.0199917982366209
Master_fechaalta	0.0143982133233179	0.0229339760680165	0.0257330326020094
cliente_antiguedad	0.0137356381363849	0.0122536091827226	0.0198892761943818
mcomisiones_otras	0.0133904003286182	0.0145705178281003	0.0217346729546853
mcomisiones_mantenimiento	0.0131456394498979	0.0142055837767452	0.00820176337912651
mautoservicio	0.0125831110154099	0.0154223890761438	0.0192741439409473
Visa_Fvencimiento	0.0120087966630788	0.0113681889629952	0.0191716218987082
mcomisiones	0.011407616210252	0.0159169801842052	0.0225548492925979
ccomisiones_otras	0.0112296623170628	0.0167742535992468	0.0156858724625795
numero_de_cliente	0.0107758492987942	0.00889429940316051	0.0170186590116875
Master_mlimitecompra	0.0106356627783747	0.0130516910034795	0.0181464014763174
Visa_mfinanciacion_limite	0.0104760149705758	0.0129523315207498	0.0194791880254255
Visa_mconsumospesos	0.0103975901528671	0.00987224814117997	0.0160959606315358
Visa_mpagominimo	0.0101586358175179	0.00901157186580508	0.0131228214066024
Master_mfinanciacion_limite	0.0100385795713715	0.0133514304918016	0.0173262251384048
mcaja_ahorro_dolares	0.00976172858492225	0.0193069611455551	0.0195817100676645
ctransferencias_recibidas	0.00971443728703788	0.0150956538990943	0.0108673364773426
Visa_cconsumos	0.00958681123105703	0.0088089249695752	0.0124051671109289
mcuenta_corriente	0.00847597838346945	0.00917969033203556	0.0115849907730162
Visa_mlimitecompra	0.00837109672198573	0.0118426708830631	0.0136354316177978
matm	0.00825826963150978	0.00655308100629184	0.00789419725240927
ccomisiones_mantenimiento	0.00748687473689152	0.0179011658300477	0.00574123436538856
mtransferencias_emitidas	0.00710553522936884	0.011082621327723	0.0129177773221243
mtransferencias_recibidas	0.00677057598195099	0.00674793262603114	0.0122001230264507
Visa_mconsumototal	0.00621215080953503	0.00833696237785498	0.0129177773221243
mtarjeta_visa_debitos_automaticos	0.00601248167220079	0.0100927676272911	0.0115849907730162
mpagomiscuentas	0.00583465023872733	0.00934617805065823	0.0106622923928645
thomebanking	0.00564069180158895	0.00326333801090313	0.00420340373180234
cproductos	0.00543791680839419	0.00586140168037888	0.00850932950584376
Master_status	0.00452216580564753	0.0112578686348892	0.00225548492925979
ctransferencias_emitidas	0.00441700150206241	0.0122897380678046	0.00656141070330121
mcuenta_debitos_automaticos	0.00425688176320032	0.00986285745836101	0.0099446380971909
cprestamos_personales	0.00389698491140589	0.00679689544429905	0.00246052901373795
ccaja_ahorro	0.0038660830101911	0.0124045164458725	0.00471601394299775
ccuenta_debitos_automaticos	0.00380387854206532	0.0095272263764045	0.00789419725240927
ctarjeta_visa_debitos_automaticos	0.00373319207484099	0.00524728131654384	0.00522862415419315
Master_mpagominimo	0.00370675765194878	0.00508506484397754	0.00471601394299775
Visa_mpagado	0.00352869280744358	0.0123475967909795	0.00779167521017019
Master_msaldopesos	0.00352285631086893	0.0057954952430032	0.00399835964732418
ctarjeta_debito_trx	0.00336611364080492	0.00729346566400832	0.0119950789419725
mextraccion_autoservicio	0.00330554056674814	0.0104046140281938	0.00748410908345294
tcallcenter	0.00321614207554969	0.00287838060037604	0.0016403526758253
ccallcenter_trx	0.00310197943706942	0.00407409220471139	0.00153783063358622
Master_msaldototal	0.00297353361232257	0.00323563549658718	0.00430592577404142
cpagomiscuentas	0.00269801204559319	0.00870542045964424	0.00625384457658397
Visa_mconsumosdolares	0.00254838360805798	0.00344158932682052	0.00574123436538856
mplazo_fijo_dolares	0.00246235459798	0.0169468553592102	0.00266557309821612
ctarjeta_master	0.00239017406318638	0.000803766717990282	0.00133278654910806
Master_mpagospesos	0.00233813321364755	0.00865040923384024	0.00451096985851958
cmobile_app_trx	0.0022788835653108	0.00130612281001704	0.00317818330941152
Master_mconsumospesos	0.00226636452634206	0.00445329908420042	0.00461349190075866
mdescubierto_preacordado	0.00221053811962933	0.0065410296300075	0.00194791880254255
cextraccion_autoservicio	0.00204845584204079	0.00263226897920612	0.00430592577404142
Master_fultimo_cierre	0.00192655953993388	0.00245637543150188	0.00328070535165061
ctarjeta_debito	0.00176399033509483	0.00333427805621994	0.00266557309821612
ccajas_consultas	0.00175055344475441	0.0113662451926267	0.00225548492925979
Visa_fultimo_cierre	0.00156392800208345	0.00280762231021056	0.00492105802747591
Master_cconsumos	0.00146493518848556	0.00287775960360898	0.00287061718269428
cseguro_accidentes_personales	0.00136837497253639	0.00638581577952179	0.00194791880254255
Visa_Finiciomora	0.00124363250759173	0.00440678491172132	0.00102522042239081
Visa_mpagosdolares	0.00122777304073516	0.00418961274964726	0.00297313922493336
ccaja_seguridad	0.00122392831567911	0.00556945241979317	0.00123026450686898
catm_trx	0.00120664149205207	0.00306424543763268	0.00287061718269428
Master_mconsumototal	0.00113673418334937	0.00199610575451753	0.00266557309821612
Visa_msaldodolares	0.00106389766082643	0.00221920010527258	0.00194791880254255
Visa_status	0.000969309082491237	0.0034949597075083	0.000615132253434488
active_quarter	0.000962352976784632	7.79931549394406e-05	0.000307566126717244
ccajas_trx	0.00084821200255848	0.00223026192573299	0.00071765429567357
matm_other	0.000812115641523819	0.00343433931578394	0.00194791880254255
cinversion1	0.00072744802120346	0.00619823436583588	0.000820176337912651
ctarjeta_master_trx	0.000712765371689234	0.00126627299308688	0.00153783063358622
mtarjeta_master_consumo	0.000641226348653176	0.00154896788721713	0.00143530859134714
