Feature	Gain	Cover	Frequency
ctrx_quarter	0.224292446161389	0.0189594912099449	0.0145906724854093
mcuentas_saldo	0.0423283878769442	0.0138565734047411	0.0185779133147554
mtarjeta_visa_consumo	0.0350657851913912	0.0125887091580259	0.0168428063164905
mcaja_ahorro	0.0233726821578615	0.00625326857264666	0.0118565644881434
mdescubierto_preacordado	0.0205468992967277	0.00202655106678997	0.00152479099847521
foto_mes	0.0199173170379052	0.0152813797553121	0.0165448586501218
ctarjeta_visa	0.0185035019445778	0.000654816824635174	0.000867553499132447
cpayroll_trx	0.0176893845331248	0.00815243296050124	0.00438158332895175
mprestamos_personales	0.0166111990147001	0.00881253035028993	0.00347021399652979
mpayroll	0.0159582613455153	0.0130272744352001	0.00570482149429518
mcuenta_corriente	0.0145590319106452	0.00697170795313617	0.00991114149008886
mdescubierto_preacordado_delta1	0.0112904406005374	0.00427234972620862	0.00115673799884326
mpasivos_margen	0.0104663045546031	0.0088799942044929	0.00997248365669418
cproductos_delta1	0.00993511013318253	0.0040995986671955	0.00154231733179102
Master_status	0.00938780871964137	0.00171547868239882	0.000718579665948087
Master_fechaalta	0.00869117693773689	0.00820848543563004	0.0118127486548539
numero_de_cliente	0.00859639181221995	0.00965000963062168	0.0167288851499378
mactivos_margen	0.00847939379463028	0.0083239889984459	0.0134251713199082
cliente_edad_lag1	0.00821739988837041	0.0101667360028153	0.0153705943179627
mrentabilidad_annual	0.00817539052380349	0.00827268117735669	0.0119617224880383
ctrx_quarter_delta1	0.00804267207937761	0.00682215777971733	0.011891617154775
mrentabilidad_annual_delta1	0.00802540823551567	0.00646087130018881	0.0127065916539601
Visa_status	0.00793331095529564	0.00100243922314484	0.000657237499342763
cliente_edad	0.00766014348435058	0.00852744100871721	0.0131622763201711
Master_Fvencimiento	0.00640998090243235	0.00598274274816997	0.0109451951557215
mprestamos_personales_delta1	0.00633509708475517	0.0090365688637717	0.00329495066337172
Visa_fechaalta_lag1	0.00607906531803229	0.0046945084224085	0.00948174632385159
Visa_Fvencimiento_lag1	0.00596087458145048	0.00512082459913436	0.0111905638221428
mcuenta_corriente_lag1	0.00589687777742389	0.0082460547030388	0.0106034316560632
Visa_Fvencimiento	0.00571663767472636	0.00760022263227903	0.0110240636556426
mcaja_ahorro_dolares_delta1	0.00564379354092176	0.00617625723099936	0.00694919115971748
mrentabilidad_annual_lag1	0.00561397778376834	0.0075689047645557	0.0092539039907461
mcuentas_saldo_delta1	0.00555722585502548	0.00836778384220232	0.0102266154897734
chomebanking_trx	0.00550903012297363	0.00428912805564956	0.00912245649087754
Master_Fvencimiento_lag1	0.00549840307367599	0.0042474019225562	0.0106823001559844
Visa_fechaalta	0.00547516960139705	0.00569684112428504	0.0100601153232732
mcaja_ahorro_lag1	0.00533654641608846	0.00543273255295482	0.00974464132358869
mrentabilidad	0.00513722239859365	0.00466272765598459	0.0085090348248243
mactivos_margen_lag1	0.00503190153958163	0.00648255906115798	0.00781674465884992
Master_fechaalta_lag1	0.00484364017721926	0.00571806660139499	0.00985856249014144
Visa_mpagominimo	0.0046562287876971	0.0070725663786634	0.00963072015703595
mcaja_ahorro_delta1	0.00457850618443373	0.00695553055428461	0.00789561315877105
mcuenta_corriente_delta1	0.00454315796790467	0.00842495986308968	0.00828995565837671
ccaja_ahorro	0.00451632451494311	0.00364769333040739	0.00285679233047654
mcomisiones_mantenimiento	0.00451192610286379	0.00672899071237695	0.00471458366195208
mactivos_margen_delta1	0.00445547170855282	0.00380010320791888	0.00739611265927055
Visa_mfinanciacion_limite	0.00443971332403103	0.00454639436473249	0.00658990132674343
mtransferencias_recibidas	0.00441753444858464	0.00482440534496973	0.00703682282629651
cliente_antiguedad_lag1	0.00428509954612652	0.00480533642398435	0.00836006099163994
mrentabilidad_delta1	0.00427578670743771	0.00415190283873371	0.00813221865853445
cliente_antiguedad	0.00426158716382208	0.00451548052464804	0.00884203515782463
Visa_mpagospesos_lag1	0.00425730532387812	0.00566194242039078	0.00822861349177139
ctrx_quarter_lag1	0.0039572604768032	0.00717513782911796	0.00807963965858703
chomebanking_trx_delta1	0.00386369329928341	0.00654551674291988	0.00777292882556041
ctarjeta_visa_trx	0.00386065358389765	0.00670761467598517	0.0104807473228526
Master_mfinanciacion_limite	0.00382864282738938	0.00519759599893487	0.00708940182624393
Visa_mpagominimo_lag1	0.00381967438052891	0.00568431688232121	0.00694042799305957
mcuentas_saldo_lag1	0.00372829392922453	0.0068207980580154	0.00761519182571814
mcaja_ahorro_dolares_lag1	0.00365010118464175	0.00388197095102576	0.00663371716003295
cproductos	0.00364550545500699	0.00741987405524399	0.00742240215924426
Visa_fultimo_cierre	0.00354654713059276	0.00434626503410958	0.00673887515992779
mrentabilidad_lag1	0.00353974603972345	0.00299102199047336	0.00665124349334876
ccomisiones_mantenimiento_delta1	0.00338712973480178	0.00508405908311373	0.0014985014985015
Visa_mpagospesos_delta1	0.00337345606492632	0.00462991457089121	0.00773787615892879
Visa_mpagospesos	0.0033719468199928	0.00527185415775784	0.00729095465937571
mtarjeta_visa_consumo_lag1	0.00333209686624409	0.00363125785188847	0.00329495066337172
mtransferencias_recibidas_lag1	0.00332965201065207	0.0059290939953987	0.00682650682650683
chomebanking_trx_lag1	0.00329137188511205	0.00297317107025285	0.00690537532642796
mcomisiones	0.00326460812021784	0.00294647235207334	0.0055032686611634
Master_mfinanciacion_limite_lag1	0.00309509616774151	0.00474053629318558	0.00571358466095308
Visa_mconsumospesos_lag1	0.00304093851925522	0.00278641822859539	0.0060202954939797
mcomisiones_otras	0.00302597840603405	0.00330177819268715	0.00506511032826822
Master_fultimo_cierre_lag1	0.00301831221961206	0.00420277189364633	0.00609916399390084
mpasivos_margen_lag1	0.00301817637555111	0.00470137251152462	0.00637958532695375
thomebanking	0.00296757111989361	0.00148207990067156	0.00162118583171215
Visa_cconsumos_lag1	0.00293356375815331	0.00436605178240085	0.00595895332737438
Visa_Finiciomora	0.00291835521436178	0.00618474296424337	0.00129694866536972
Master_fultimo_cierre	0.00291799026844811	0.00263738513677334	0.00566976882766357
Visa_mconsumospesos	0.00291221470860854	0.00255966519044077	0.00614297982719035
Visa_mfinanciacion_limite_lag1	0.00283682820343109	0.00254798966014065	0.00520532099479468
mcaja_ahorro_dolares	0.00279707655266072	0.00534905463998328	0.00581874266084792
ccomisiones_mantenimiento	0.00272740449110548	0.00291859298474251	0.00113921166552746
Visa_mpagominimo_delta1	0.00269929006307281	0.00296228230634786	0.00512645249487355
Visa_fultimo_cierre_lag1	0.0026579656359699	0.00266382669754755	0.00561718982771614
mpasivos_margen_delta1	0.00262795980668945	0.00357163015101629	0.00573987416092679
ccomisiones_otras	0.00256543478114414	0.00516832401588853	0.00453055716213611
Visa_msaldototal	0.0025333669103047	0.00206189337873666	0.003996003996004
mtarjeta_visa_debitos_automaticos_lag1	0.00250302163850438	0.00463333539459417	0.00447797816218869
mcuenta_debitos_automaticos	0.0024806568120417	0.00767791798495658	0.0040135303293198
Visa_mconsumosdolares_lag1	0.00242861466332922	0.00357607099656121	0.00516150516150516
mprestamos_personales_lag1	0.00241352390884696	0.00256864802293688	0.00138458033194875
mtransferencias_emitidas	0.00235170992101644	0.00872518291027904	0.00666876982666456
Visa_mconsumospesos_delta1	0.00234396457049599	0.00322540421098073	0.00542440016124227
Visa_mlimitecompra_lag1	0.00233442553613663	0.003419033515437	0.0040135303293198
mtransferencias_emitidas_lag1	0.00230160315130983	0.00389573379094055	0.00548574232784759
Visa_cconsumos	0.00229600477591397	0.00307398684115966	0.00495118916171548
cmobile_app_trx	0.00228275887512709	0.00325852095085844	0.00486355749513644
Visa_msaldopesos	0.00227480399145328	0.00343386325884862	0.00488984699511015
cprestamos_personales	0.00226461519064041	0.00275256437076363	0.000963948332369385
Visa_mlimitecompra	0.0022512152941501	0.00277551071202844	0.00361042466305624
mcomisiones_mantenimiento_lag1	0.0022339697842138	0.00652956053325316	0.00381197749618802
mcomisiones_otras_lag1	0.00216662724338693	0.00126803156042449	0.00396095132937238
mtransferencias_recibidas_delta1	0.00210143796252457	0.00346928150370518	0.0047671626618995
mcomisiones_lag1	0.00207407971425499	0.00148185340847986	0.00383826699616173
mpayroll_lag1	0.00207020766441384	0.00551104612863544	0.00421508316245158
tcallcenter	0.00206474086797253	0.000833227191089117	0.000963948332369385
Visa_msaldopesos_delta1	0.00203643848388161	0.00275034364057048	0.00368929316297737
mtarjeta_visa_debitos_automaticos	0.00197834707008664	0.00242545746128555	0.00395218816271448
ccomisiones_otras_lag1	0.00197490072782182	0.00365623762729242	0.00388208282945125
cmobile_app_trx_lag1	0.00192773864347036	0.00337280459153013	0.00432900432900433
Master_mlimitecompra	0.00191626470150551	0.0026073219297319	0.00331247699668752
mpagomiscuentas	0.00191333251318406	0.00407273278901702	0.00341763499658237
Visa_msaldopesos_lag1	0.00189096036633142	0.00210926706042954	0.00333000333000333
mcomisiones_otras_delta1	0.00187624035906556	0.00254992325941144	0.00359289832974044
ctarjeta_debito_trx	0.00186289212467145	0.00164595372619482	0.00263771316402895
mtarjeta_visa_debitos_automaticos_delta1	0.00185655345013795	0.0046016728314247	0.00310216099689784
mtransferencias_emitidas_delta1	0.00184736944357417	0.00378887474415392	0.00340887182992446
Master_mlimitecompra_lag1	0.00181333016542489	0.00249839109807534	0.00305834516360832
Visa_Finiciomora_lag1	0.00180459660916143	0.00411090667606342	0.000832500832500833
Visa_mconsumosdolares	0.00180131843481602	0.00269890332116485	0.00381197749618802
ccaja_ahorro_delta1	0.00177385060511442	0.00527126191180289	0.000534553166132114
mautoservicio	0.00175050524816973	0.00549748603266423	0.00404858299595142
Visa_msaldototal_lag1	0.00173366557352686	0.0022018157510565	0.00323360849676639
ccallcenter_trx_delta1	0.00172839643731392	0.00274336695862747	0.00127065916539601
ccallcenter_trx	0.00171170937902874	0.00652353885367665	0.00266400266400266
ctransferencias_recibidas_lag1	0.00167538810162712	0.00294817261904212	0.00392589866274077
mpayroll_delta1	0.00167368229977582	0.00699071139351506	0.00394342499605658
cproductos_lag1	0.00162487303927435	0.002570071303866	0.00358413516308253
internet	0.0015953949634566	0.00354633665280049	0.0022433706644233
mcomisiones_delta1	0.00159196987813132	0.00217597343005789	0.00348774032984559
