Feature	Gain	Cover	Frequency
ctrx_quarter	0.208422647694892	0.0178967996659872	0.013214198028831
mtarjeta_visa_consumo	0.0374021360998906	0.0121961721468741	0.0159236785801971
mcuentas_saldo	0.0354174736968206	0.0133207242996255	0.0190014380414577
mcaja_ahorro	0.0328654170744079	0.00729823729504718	0.0121356669355687
mcuenta_corriente	0.0256851594933739	0.00745740901591553	0.010092595840202
mdescubierto_preacordado	0.0229432594623317	0.00196313519555437	0.00153449545789344
foto_mes	0.0190422334529197	0.0147296518090575	0.0164497913086177
mpayroll	0.0185416030400502	0.0124959229983197	0.0059801480130476
ctarjeta_visa	0.0160129480660604	0.000589000669427599	0.000701483637894146
mprestamos_personales	0.0159865286489479	0.0084425099367802	0.00323559327978675
cpayroll_trx	0.0157831028925977	0.00814840224873976	0.00445442110062783
mpasivos_margen	0.0120210589964356	0.00841780121797415	0.0108817649328329
mdescubierto_preacordado_delta1	0.0100609451501705	0.00476392891174757	0.00111360527515696
cproductos_delta1	0.00893584243755112	0.00448797189056878	0.00149942127599874
Master_fechaalta	0.00858397989054845	0.00875741019863413	0.0116533969345165
numero_de_cliente	0.00843001328853644	0.0107988891668937	0.0167829960366174
cliente_edad	0.00842211442518792	0.00955605513784434	0.0151520465785136
ctrx_quarter_delta1	0.00830648362988805	0.00736126528617061	0.0122496580267265
mactivos_margen	0.00807291444407846	0.00831297430449905	0.0133544947564098
mrentabilidad_annual_delta1	0.00799522530502412	0.00689192134894218	0.012916067482726
Master_status	0.00792200927851302	0.00165888857601611	0.000789169092630914
mrentabilidad_annual	0.00788477110106256	0.00766282435372462	0.0110045245694644
cliente_edad_lag1	0.00764643876605201	0.0076892827223161	0.0127933078460945
Visa_status	0.00706007824591039	0.000948379301139337	0.000569955455788994
mcuenta_corriente_lag1	0.00649457798290492	0.00802209112834686	0.0103118094770439
mprestamos_personales_delta1	0.00644297387614376	0.0095708107929479	0.00339342709831293
Master_Fvencimiento	0.00615678180086174	0.00587382686828652	0.0107414682052541
Visa_Fvencimiento_lag1	0.00608894915710171	0.0049520805643049	0.0110922100242012
Visa_Fvencimiento	0.00608079571397197	0.00769966325901065	0.0116095542071481
Visa_fechaalta	0.00582701544314768	0.00542271189023666	0.0106537827505173
mrentabilidad	0.00575202761265741	0.0049033941353276	0.0088913051103083
Master_Fvencimiento_lag1	0.0057128928199037	0.0041989057231192	0.0108116165690435
mcuentas_saldo_delta1	0.00563955266924953	0.00776543171059812	0.0104608747500965
Visa_fechaalta_lag1	0.00561421329067418	0.0042079714229251	0.0091192872926239
mcaja_ahorro_dolares_delta1	0.00557780445054632	0.00645290543923463	0.00651502928694188
mrentabilidad_annual_lag1	0.00547844426093192	0.00633758666717686	0.00891761074672933
chomebanking_trx	0.00527539616576971	0.00465056507743511	0.00890007365578198
mcaja_ahorro_lag1	0.00512361287529485	0.00602475006540677	0.0100575216583073
ctarjeta_visa_trx	0.00503437175272519	0.00730372792605754	0.0119164532987268
mactivos_margen_lag1	0.00485053228871829	0.0065534003562409	0.00774262565325664
Master_fechaalta_lag1	0.00482037476079766	0.00480615630103673	0.0101539756585178
cproductos	0.0046850093621208	0.00755881109926965	0.00753218056188839
